Id,LotArea,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MoSold,YrSold,SaleCondition,SalePrice,SaleType
1,8450,CollgCr,2Story,7,5,2003,2003,Gd,TA,No,GLQ,706,Unf,0,150,856,856,854,1710,1,0,2,1,3,Gd,8,Attchd,2003.0,RFn,2,548,TA,TA,0,61,0,0,0,0,NA,NA,2,2008,Normal,208500,WD
2,9600,Veenker,1Story,6,8,1976,1976,Gd,TA,Gd,ALQ,978,Unf,0,284,1262,1262,0,1262,0,1,2,0,3,TA,6,Attchd,1976.0,RFn,2,460,TA,TA,298,0,0,0,0,0,NA,NA,5,2007,Normal,181500,WD
3,11250,CollgCr,2Story,7,5,2001,2002,Gd,TA,Mn,GLQ,486,Unf,0,434,920,920,866,1786,1,0,2,1,3,Gd,6,Attchd,2001.0,RFn,2,608,TA,TA,0,42,0,0,0,0,NA,NA,9,2008,Normal,223500,WD
4,9550,Crawfor,2Story,7,5,1915,1970,TA,Gd,No,ALQ,216,Unf,0,540,756,961,756,1717,1,0,1,0,3,Gd,7,Detchd,1998.0,Unf,3,642,TA,TA,0,35,272,0,0,0,NA,NA,2,2006,Abnorml,140000,WD
5,14260,NoRidge,2Story,8,5,2000,2000,Gd,TA,Av,GLQ,655,Unf,0,490,1145,1145,1053,2198,1,0,2,1,4,Gd,9,Attchd,2000.0,RFn,3,836,TA,TA,192,84,0,0,0,0,NA,NA,12,2008,Normal,250000,WD
6,14115,Mitchel,1.5Fin,5,5,1993,1995,Gd,TA,No,GLQ,732,Unf,0,64,796,796,566,1362,1,0,1,1,1,TA,5,Attchd,1993.0,Unf,2,480,TA,TA,40,30,0,320,0,0,NA,MnPrv,10,2009,Normal,143000,WD
7,10084,Somerst,1Story,8,5,2004,2005,Ex,TA,Av,GLQ,1369,Unf,0,317,1686,1694,0,1694,1,0,2,0,3,Gd,7,Attchd,2004.0,RFn,2,636,TA,TA,255,57,0,0,0,0,NA,NA,8,2007,Normal,307000,WD
8,10382,NWAmes,2Story,7,6,1973,1973,Gd,TA,Mn,ALQ,859,BLQ,32,216,1107,1107,983,2090,1,0,2,1,3,TA,7,Attchd,1973.0,RFn,2,484,TA,TA,235,204,228,0,0,0,NA,NA,11,2009,Normal,200000,WD
9,6120,OldTown,1.5Fin,7,5,1931,1950,TA,TA,No,Unf,0,Unf,0,952,952,1022,752,1774,0,0,2,0,2,TA,8,Detchd,1931.0,Unf,2,468,Fa,TA,90,0,205,0,0,0,NA,NA,4,2008,Abnorml,129900,WD
10,7420,BrkSide,1.5Unf,5,6,1939,1950,TA,TA,No,GLQ,851,Unf,0,140,991,1077,0,1077,1,0,1,0,2,TA,5,Attchd,1939.0,RFn,1,205,Gd,TA,0,4,0,0,0,0,NA,NA,1,2008,Normal,118000,WD
